"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"TX.VAL.MMTL.ZS.UN","Ores and metals exports (% of merchandise exports)","Ores and metals comprise the commodities in SITC sections 27 (crude fertilizer, minerals nes); 28 (metalliferous ores, scrap); and 68 (non-ferrous metals).","World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.",
"TX.VAL.FUEL.ZS.UN","Fuel exports (% of merchandise exports)","Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).","World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.",
"TM.VAL.MMTL.ZS.UN","Ores and metals imports (% of merchandise imports)","Ores and metals comprise commodities in SITC sections 27 (crude fertilizer, minerals nes); 28 (metalliferous ores, scrap); and 68 (non-ferrous metals).","World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.",
"TM.VAL.FUEL.ZS.UN","Fuel imports (% of merchandise imports)","Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).","World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.",
"NY.GDP.TOTL.RT.ZS","Total natural resources rents (% of GDP)","Total natural resources rents are the sum of oil rents, natural gas rents, coal rents (hard and soft), mineral rents, and forest rents.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.GDP.PETR.RT.ZS","Oil rents (% of GDP)","Oil rents are the difference between the value of crude oil production at regional prices and total costs of production.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.GDP.NGAS.RT.ZS","Natural gas rents (% of GDP)","Natural gas rents are the difference between the value of natural gas production at regional prices and total costs of production.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.GDP.MINR.RT.ZS","Mineral rents (% of GDP)","Mineral rents are the difference between the value of production for a stock of minerals at world prices and their total costs of production. Minerals included in the calculation are tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.ADJ.DRES.GN.ZS","Adjusted savings: natural resources depletion (% of GNI)","Natural resource depletion is the sum of net forest depletion, energy depletion, and mineral depletion. Net forest depletion is unit resource rents times the excess of roundwood harvest over natural growth. Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime. It covers coal, crude oil, and natural gas. Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.ADJ.DNGY.GN.ZS","Adjusted savings: energy depletion (% of GNI)","Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime. It covers coal, crude oil, and natural gas.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.ADJ.DNGY.CD","Adjusted savings: energy depletion (current US$)","Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime. It covers coal, crude oil, and natural gas.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.ADJ.DMIN.GN.ZS","Adjusted savings: mineral depletion (% of GNI)","Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime. It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"NY.ADJ.DMIN.CD","Adjusted savings: mineral depletion (current US$)","Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime. It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","World Bank staff estimates based on sources and methods described in ""The Changing Wealth of Nations 2018: Building a Sustainable Future"" (Lange et al 2018).",
"IE.PPI.ENGY.CD","Investment in energy with private participation (current US$)","Investment in energy projects with private participation  refers to commitments to  infrastructure projects in energy (electricity and natural gas: generation, transmission and distribution) that have reached financial closure and directly or indirectly serve the public. Movable assets and small projects such as windmills are excluded. The types of projects included are management and lease contracts, operations and management contracts with major capital expenditure, greenfield projects (in which a private entity or a public-private joint venture builds and operates a new facility), and divestitures. Investment commitments are the sum of investments in facilities and investments in government assets. Investments in facilities are the resources the project company commits to invest during the contract period either in new facilities or in expansion and modernization of existing facilities. Investments in government assets are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or the use of specific radio spectrums. Data are in current U.S. dollars.","World Bank, Private Participation in Infrastructure Project Database (http://ppi.worldbank.org).",
"IC.FRM.OUTG.ZS","Value lost due to electrical outages (% of sales for affected firms)","Average losses due to electrical outages, as percentage of total annual sales. The value represents average losses for all firms which reported outages (please see indicator IC.ELC.OUTG.ZS).","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",
"IC.FRM.BNKS.ZS","Firms using banks to finance investment (% of firms)","Firms using banks to finance investment are the percentage of firms using banks to finance investments.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",
"IC.ELC.TIME","Time required to get electricity (days)","Time required to get electricity is the number of days to obtain a permanent electricity connection. The measure captures the median duration that the electricity utility and experts indicate is necessary in practice, rather than required by law, to complete a procedure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",
"IC.ELC.DURS","Delay in obtaining an electrical connection (days)","Delay in obtaining an electrical connection is the average wait, in days, experienced to obtain an electrical connection from the day an establishment applies for it to the day it receives the service.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",
"EP.PMP.SGAS.CD","Pump price for gasoline (US$ per liter)","Fuel prices refer to the pump prices of the most widely sold grade of gasoline. Prices have been converted from the local currency to U.S. dollars.","German Agency for International Cooperation (GIZ).",
"EP.PMP.DESL.CD","Pump price for diesel fuel (US$ per liter)","Fuel prices refer to the pump prices of the most widely sold grade of diesel fuel. Prices have been converted from the local currency to U.S. dollars.","German Agency for International Cooperation (GIZ).",
"EN.ATM.NOXE.EG.ZS","Nitrous oxide emissions in energy sector (% of total)","Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels.","World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.NOXE.EG.KT.CE","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels.","European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/",
"EN.ATM.METH.EG.ZS","Energy related methane emissions (% of total)","Methane emissions from energy processes are emissions from the production, handling, transmission, and combustion of fossil fuels and biofuels.","World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.",
"EN.ATM.METH.EG.KT.CE","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","Methane emissions from energy processes are emissions from the production, handling, transmission, and combustion of fossil fuels and biofuels.","European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/",
"EN.ATM.CO2E.LF.KT","CO2 emissions from liquid fuel consumption (kt) ","Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of petroleum-derived fuels as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.",
