"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SM.POP.TOTL.ZS","International migrant stock (% of population)","International migrant stock is the number of people born in a country other than that in which they live. It also includes refugees. The data used to estimate the international migrant stock at a particular time are obtained mainly from population censuses. The estimates are derived from the data on foreign-born population--people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population--that is, people who are citizens of a country other than the country in which they reside--are used as estimates. After the breakup of the Soviet Union in 1991 people living in one of the newly independent countries who were born in another were classified as international migrants. Estimates of migrant stock in the newly independent states from 1990 on are based on the 1989 census of the Soviet Union. For countries with information on the international migrant stock for at least two points in time, interpolation or extrapolation was used to estimate the international migrant stock on July 1 of the reference years. For countries with only one observation, estimates for the reference years were derived using rates of change in the migrant stock in the years preceding or following the single observation available. A model was used to estimate migrants for countries that had no data.","United Nations Population Division, Trends in Total Migrant Stock: 2008 Revision.",
"SM.POP.TOTL","International migrant stock, total","International migrant stock is the number of people born in a country other than that in which they live. It also includes refugees. The data used to estimate the international migrant stock at a particular time are obtained mainly from population censuses. The estimates are derived from the data on foreign-born population--people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population--that is, people who are citizens of a country other than the country in which they reside--are used as estimates. After the breakup of the Soviet Union in 1991 people living in one of the newly independent countries who were born in another were classified as international migrants. Estimates of migrant stock in the newly independent states from 1990 on are based on the 1989 census of the Soviet Union. For countries with information on the international migrant stock for at least two points in time, interpolation or extrapolation was used to estimate the international migrant stock on July 1 of the reference years. For countries with only one observation, estimates for the reference years were derived using rates of change in the migrant stock in the years preceding or following the single observation available. A model was used to estimate migrants for countries that had no data.","United Nations Population Division, Trends in Total Migrant Stock: 2012 Revision.",
"SM.POP.NETM","Net migration","Net migration is the net total of migrants during the period, that is, the total number of immigrants less the annual number of emigrants, including both citizens and noncitizens. Data are five-year estimates.","United Nations Population Division. World Population Prospects: 2017 Revision.",
"PX.REX.REER","Real effective exchange rate index (2010 = 100)","Real effective exchange rate is the nominal effective exchange rate (a measure of the value of a currency against a weighted average of several foreign currencies) divided by a price deflator or index of costs.","International Monetary Fund, International Financial Statistics.",
"PA.NUS.FCRF","Official exchange rate (LCU per US$, period average)","Official exchange rate refers to the exchange rate determined by national authorities or to the rate determined in the legally sanctioned exchange market. It is calculated as an annual average based on monthly averages (local currency units relative to the U.S. dollar).","International Monetary Fund, International Financial Statistics.",
"PA.NUS.ATLS","DEC alternative conversion factor (LCU per US$)","The DEC alternative conversion factor is the underlying annual exchange rate used for the World Bank Atlas method. As a rule, it is the official exchange rate reported in the IMF's International Financial Statistics (line rf). Exceptions arise where further refinements are made by World Bank staff. It is expressed in local currency units per U.S. dollar.","International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",
"NY.GDP.DEFL.ZS.AD","GDP deflator: linked series (base year varies by country)","The GDP implicit deflator is calculated as the ratio of GDP in current local currency to GDP in constant local currency. This series has been linked to produce a consistent time series to counteract breaks in series over time due to changes in base years, source data and methodologies. Thus, it may not be comparable with other national accounts series in the database for historical years. The base year varies by country.","World Bank staff estimates based on World Bank national accounts data archives, OECD National Accounts, and the IMF WEO database.",
"NY.GDP.DEFL.KD.ZG.AD","Inflation, GDP deflator: linked series (annual %)","Inflation as measured by the annual growth rate of the GDP implicit deflator shows the rate of price change in the economy as a whole. This series has been linked to produce a consistent time series to counteract breaks in series over time due to changes in base years, source data and methodologies. Thus, it may not be comparable with other national accounts series in the database for historical years.","World Bank staff estimates based on World Bank national accounts data archives, OECD National Accounts, and the IMF WEO database.",
"IC.LGL.CRED.XQ","Strength of legal rights index (0=weak to 12=strong)","Strength of legal rights index measures the degree to which collateral and bankruptcy laws protect the rights of borrowers and lenders and thus facilitate lending. The index ranges from 0 to 12, with higher scores indicating that these laws are better designed to expand access to credit.","World Bank, Doing Business project (http://www.doingbusiness.org/).",
"IC.CRD.PUBL.ZS","Public credit registry coverage (% of adults)","Public credit registry coverage reports the number of individuals and firms listed in a public credit registry with current information on repayment history, unpaid debts, or credit outstanding. The number is expressed as a percentage of the adult population.","World Bank, Doing Business project (http://www.doingbusiness.org/).",
"IC.CRD.PRVT.ZS","Private credit bureau coverage (% of adults)","Private credit bureau coverage reports the number of individuals or firms listed by a private credit bureau with current information on repayment history, unpaid debts, or credit outstanding. The number is expressed as a percentage of the adult population.","World Bank, Doing Business project (http://www.doingbusiness.org/).",
"IC.CRD.INFO.XQ","Depth of credit information index (0=low to 8=high)","Depth of credit information index measures rules affecting the scope, accessibility, and quality of credit information available through public or private credit registries. The index ranges from 0 to 8, with higher values indicating the availability of more credit information, from either a public registry or a private bureau, to facilitate lending decisions.","World Bank, Doing Business project (http://www.doingbusiness.org/).",
"FS.AST.PRVT.GD.ZS","Domestic credit to private sector (% of GDP)","Domestic credit to private sector refers to financial resources provided to the private sector by financial corporations, such as through loans, purchases of nonequity securities, and trade credits and other accounts receivable, that establish a claim for repayment. For some countries these claims include credit to public enterprises. The financial corporations include monetary authorities and deposit money banks, as well as other financial corporations where data are available (including corporations that do not accept transferable deposits but do incur such liabilities as time and savings deposits). Examples of other financial corporations are finance and leasing companies, money lenders, insurance corporations, pension funds, and foreign exchange companies.","International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",
