"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SP.MTR.1519.ZS","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)","Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant.","Demographic and Health Surveys.",
"SP.HOU.FEMA.ZS","Female headed households (% of households with a female head)","Female headed households shows the percentage of households with a female head.","Demographic and Health Surveys.",
"SP.DYN.WFRT","Wanted fertility rate (births per woman)","Wanted fertility rate is an estimate of what the total fertility rate would be if all unwanted births were avoided.","Demographic and Health Surveys.",
"SP.DYN.TO65.MA.ZS","Survival to age 65, male (% of cohort)","Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65, if subject to age specific mortality rates of the specified year.","United Nations Population Division. World Population Prospects: 2017 Revision.",
"SP.DYN.TO65.FE.ZS","Survival to age 65, female (% of cohort)","Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65, if subject to age specific mortality rates of the specified year.","United Nations Population Division. World Population Prospects: 2017 Revision.",
"SP.DYN.TFRT.IN","Fertility rate, total (births per woman)","Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",
"SP.DYN.CONU.ZS","Contraceptive prevalence, any methods (% of women ages 15-49)","Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, any form of contraception. It is usually measured for women ages 15-49 who are married or in union.","UNICEF's State of the World's Children and Childinfo, United Nations Population Division's World Contraceptive Use, household surveys including Demographic and Health Surveys and Multiple Indicator Cluster Surveys.",
"SP.DYN.AMRT.MA","Mortality rate, adult, male (per 1,000 male adults)","Adult mortality rate, male, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old male dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database.",
"SP.DYN.AMRT.FE","Mortality rate, adult, female (per 1,000 female adults)","Adult mortality rate, female, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old female dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database.",
"SP.ADO.TFRT","Adolescent fertility rate (births per 1,000 women ages 15-19)","Adolescent fertility rate is the number of births per 1,000 women ages 15-19.","United Nations Population Division, World Population Prospects.",
"SL.UEM.TOTL.MA.ZS","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.UEM.TOTL.FE.ZS","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.UEM.1524.MA.ZS","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.UEM.1524.FE.ZS","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
