"Country Name","Country Code","Year","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","GINI index (World Bank estimate)","Income share held by fourth 20%","Income share held by highest 10%","Income share held by highest 20%","Income share held by lowest 10%","Income share held by lowest 20%","Income share held by second 20%","Income share held by third 20%","Population living in slums (% of urban population)","Poverty gap at $1.90 a day (2011 PPP) (%)","Poverty gap at $3.20 a day (2011 PPP) (%)","Poverty gap at $5.50 a day (2011 PPP) (%)","Poverty gap at national poverty lines (%)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Rural poverty gap at national poverty lines (%)","Rural poverty headcount ratio at national poverty lines (% of rural population)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","Urban poverty gap at national poverty lines (%)","Urban poverty headcount ratio at national poverty lines (% of urban population)"
"Central African Republic","CAF","1992","0","0","61.3","18.5","47.7","65","0.7","2","4.9","9.6","0","58.8","71.1","81.1","0","84.3","92.3","96.8","0","0","0","0","0","0","0"
"China","CHN","2014","0","0","0","0","0","0","0","0","0","0","25.2","0.3","2.1","9.7","0","1.4","9.5","31.5","7.2","0","7.2","0","0","0","0"
"Fiji","FJI","2008","0","0","40.4","20.5","32.9","47.8","2.7","6.6","10.8","14.4","0","0.6","4.2","16.5","9.9","3.5","17","50.9","35.2","12.8","44","3.33","7.65","6.9","26.2"
"Gambia, The","GMB","2003","0","0","47.3","20.7","36.9","52.8","1.8","4.8","8.7","13","0","17.7","34.5","53.5","0","45.3","69.6","86.8","0","0","0","0","0","0","0"
"India","IND","2005","0","0","0","0","0","0","0","0","0","0","34.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamaica","JAM","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.1","0","0","0","0","0","0"
"Mali","MLI","2005","0","0","0","0","0","0","0","0","0","0","65.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malta","MLT","2007","0","0","29.2","23.1","22.6","37.5","3.2","8.2","13.4","17.7","0","0.2","0.3","0.5","0","0.5","0.5","1","0","0","0","0","0","0","0"
"Mauritania","MRT","2000","0","0","39","22.3","29.5","45.7","2.5","6.2","10.6","15.2","0","5.3","16.5","35.5","19.3","19.6","45.5","74.6","51","27","66.2","0","0","7.7","28.5"
"Panama","PAN","1999","0","0","56.5","20.1","42.5","59.8","0.3","1.9","6.6","11.5","0","8.5","12","19.2","0","13.4","21.2","37","0","0","0","0","0","0","0"
"Poland","POL","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.1","0","0","0","0","0","0"
"Saudi Arabia","SAU","2005","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
