"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"TX.VAL.TRVL.ZS.WT","Travel services (% of commercial service exports)","Travel services (% of commercial service exports) covers goods and services acquired from an economy by travelers in that economy for their own use during visits of less than one year for business or personal purposes. Travel services include the goods and services consumed by travelers, such as lodging and meals and transport (within the economy visited).","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"TX.VAL.TRAN.ZS.WT","Transport services (% of commercial service exports)","Transport services (% of commercial service exports) covers all transport services (sea, air, land, internal waterway, space, and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers, movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Excluded are freight insurance, which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment, which are included in goods; repairs of railway facilities, harbors, and airfield facilities, which are included in construction services; and rental of carriers without crew, which is included in other services.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"TX.VAL.TECH.MF.ZS","High-technology exports (% of manufactured exports)","High-technology exports are products with high R&D intensity, such as in aerospace, computers, pharmaceuticals, scientific instruments, and electrical machinery.","United Nations, Comtrade database through the WITS platform.",
"TX.VAL.TECH.CD","High-technology exports (current US$)","High-technology exports are products with high R&D intensity, such as in aerospace, computers, pharmaceuticals, scientific instruments, and electrical machinery. Data are in current U.S. dollars.","United Nations, Comtrade database through the WITS platform.",
"TX.VAL.SERV.CD.WT","Commercial service exports (current US$)","Commercial service exports are total service exports minus exports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"TX.VAL.OTHR.ZS.WT","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service exports) include such activities as international telecommunications, and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; and personal, cultural, and recreational services.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
"TX.VAL.MRCH.XD.WD","Export value index (2000 = 100)","Export values are the current value of exports (f.o.b.) converted to U.S. dollars and expressed as a percentage of the average for the base period (2000). UNCTAD's export value indexes are reported for most economies. For selected economies for which UNCTAD does not publish data, the export value indexes are derived from export volume indexes (line 72) and corresponding unit value indexes of exports (line 74) in the IMF's International Financial Statistics.","United Nations Conference on Trade and Development, Handbook of Statistics and data files, and International Monetary Fund, International Financial Statistics.",
"TX.VAL.MRCH.WR.ZS","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","Merchandise exports to low- and middle-income economies within region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in the same World Bank region as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. No figures are shown for high-income economies, because they are a separate category in the World Bank classification of economies.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.WL.CD","Merchandise exports by the reporting economy (current US$)","Merchandise exports by the reporting economy are the total merchandise exports by the reporting economy to the rest of the world, as reported in the IMF's Direction of trade database. Data are in current US$.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.RS.ZS","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","Merchandise exports by the reporting economy residuals are the total merchandise exports by the reporting economy to the rest of the world as reported in the IMF's Direction of trade database, less the sum of exports by the reporting economy to high-, low-, and middle-income economies according to the World Bank classification of economies. Includes trade with unspecified partners or with economies not covered by World Bank classification. Data are as a percentage of total merchandise exports by the economy.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.R6.ZS","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Sub-Saharan Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.R5.ZS","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","Merchandise exports to low- and middle-income economies in South Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.R4.ZS","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","Merchandise exports to low- and middle-income economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.R3.ZS","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","Merchandise exports to low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Latin America and the Caribbean region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.R2.ZS","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","Merchandise exports to low- and middle-income economies in Europe and Central Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Europe and Central Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
"TX.VAL.MRCH.R1.ZS","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","Merchandise exports to low- and middle-income economies in East Asia and Pacific are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the East Asia and Pacific region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.","World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.",
