"Country Name","Country Code","Year","average_value_Armed forces personnel (% of total labor force)","average_value_Armed forces personnel, total","average_value_Arms exports (SIPRI trend indicator values)","average_value_Arms imports (SIPRI trend indicator values)","average_value_Battle-related deaths (number of people)","average_value_CPIA building human resources rating (1=low to 6=high)","average_value_CPIA business regulatory environment rating (1=low to 6=high)","average_value_CPIA debt policy rating (1=low to 6=high)","average_value_CPIA economic management cluster average (1=low to 6=high)","average_value_CPIA efficiency of revenue mobilization rating (1=low to 6=high)","average_value_CPIA equity of public resource use rating (1=low to 6=high)","average_value_CPIA financial sector rating (1=low to 6=high)","average_value_CPIA fiscal policy rating (1=low to 6=high)","average_value_CPIA gender equality rating (1=low to 6=high)","average_value_CPIA macroeconomic management rating (1=low to 6=high)","average_value_CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","average_value_CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","average_value_CPIA property rights and rule-based governance rating (1=low to 6=high)","average_value_CPIA public sector management and institutions cluster average (1=low to 6=high)","average_value_CPIA quality of budgetary and financial management rating (1=low to 6=high)","average_value_CPIA quality of public administration rating (1=low to 6=high)","average_value_CPIA social protection rating (1=low to 6=high)","average_value_CPIA structural policies cluster average (1=low to 6=high)","average_value_CPIA trade rating (1=low to 6=high)","average_value_CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","average_value_Expense (% of GDP)","average_value_IDA resource allocation index (1=low to 6=high)","average_value_Intentional homicides (per 100,000 people)","average_value_Intentional homicides, female (per 100,000 female)","average_value_Intentional homicides, male (per 100,000 male)","average_value_Internally displaced persons, new displacement associated with conflict and violence (number of cases)","average_value_Internally displaced persons, new displacement associated with disasters (number of cases)","average_value_Internally displaced persons, total displaced by conflict and violence (number of people)","average_value_Methodology assessment of statistical capacity (scale 0 - 100)","average_value_Military expenditure (% of GDP)","average_value_Military expenditure (% of general government expenditure)","average_value_Military expenditure (current USD)","average_value_Other expense (% of expense)","average_value_Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Public credit registry coverage (% of adults)","average_value_Source data assessment of statistical capacity (scale 0 - 100)","average_value_Statistical Capacity score (Overall average)","average_value_Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)","average_value_Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Subsidies and other transfers (% of expense)","average_value_Tax payments (number)","average_value_Time to prepare and pay taxes (hours)","average_value_Total tax and contribution rate (% of profit)"
"Africa Eastern and Southern","AFE","1987","","","79000000","1869000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90718655171584","","7253046582.51314","","","","","","","","","","","","",""
"Albania","ALB","2019","","","","5000000","","","","","","","","","","","","","","","","","","","","","","23.3251456481538","","","","","","33000","","70","1.29108711382404","4.39406689444709","197225913.318893","4.55952399917975","76.6667","29.5081967213115","56.2","90","78.8889","100","72.70625","8","53.2695670662513","35","252","36.6"
"Albania","ALB","1977","","","","7000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","ARM","2020","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","800","","800","100","4.85804841168719","16.7195276653098","633960400.11526","","93.3334","23.4848484848485","","90","94.4444666666667","","","","","","",""
"Azerbaijan","AZE","2013","1.74272674746369","81950","","385000000","","","","","","","","","","","","","","","","","","","","","","20.9255439826751","","2.354704353","1.4821527634","3.2385315769","","","543000","70","4.54092330961466","12.0194713616305","3367574161.19744","34.7041864820245","93.3333333333333","15.5737704918033","23","60","74.4444444444444","40","58.75","2","37.7645812285933","18","214","39.8"
"Azerbaijan","AZE","2015","1.6806446948948","81950","","335000000","63","","","","","","","","","","","","","","","","","","","","","24.7887090842221","","2.3382111188","1.5100653093","3.174263075","","","564000","60","5.46487679293858","14.1285537700865","2900551382.15215","29.8506687635848","83.3334","16.9354838709677","33.6","60","67.7778","60","59.5","2","41.9640803851603","7","195","39.8"
"Burkina Faso","BFA","1993","0.217943269366984","9000","","7000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.86252988480765","9.41532579257607","60526975.6288781","","","","","","","","","","","","",""
"Bulgaria","BGR","1989","","150000","5000000","334000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39627074963996","","2071428571.42857","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","1984","","","","60000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57408440230526","","97366249.7421569","","","","","","","","","","","","",""
"Central African Republic","CAF","1992","0.329830805042783","4000","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64212531741423","7.03356904633652","23185438.1696462","","","","","","","","","","","","",""
"Central African Republic","CAF","1966","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","1960","","","","312000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11840562719812","","126791042.64183","","","","","","","","","","","","",""
"China","CHN","2014","0.38119694475323","2993000","1212000000","1077000000","","","","","","","","","","","","","","","","","","","","","","","","0.72049529638","","","","3612000","","70","1.72868906768382","5.96824893883425","182109325991.68","","80","23.40140609307","33.2","60","70","50","50.73125","4","","9","261","68.6"
"Cyprus","CYP","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","DOM","1970","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.41669471558398","","35900000","","","","","","","","","","","","",""
"Algeria","DZA","2012","2.75044291495617","317200","","661000000","256","","","","","","","","","","","","","","","","","","","","","","","1.3989980018","0.28089377807","1.0333007393","","","","60","4.46107862007699","10.2451866793291","9326287144.03632","","76.66667","31.6017316017316","2.3","40","58.8888888888889","40","53.10625","","","27","451","72.4"
"Fragile and conflict affected situations","FCS","1986","","","","6314000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14755749981203","","7270487880.4965","","","","","","","","","","","","",""
"Fiji","FJI","2008","1.12833387399331","4000","","","","","","","","","","","","","","","","","","","","","","","","","","2.0109870871","2.4174092142","1.6215339711","","","","40","1.40404335288909","6.21090909090909","53585658.6204517","","80","","0","40","53.3333333333333","30","64.65625","","","33","202","41.5"
"United Kingdom","GBR","1998","0.757884589751857","218000","1413000000","741000000","29","","","","","","","","","","","","","","","","","","","","","32.4210551648689","","1.5740906524","","","","","","","2.49596227501881","7.25506915491494","41222125832.6215","8.4542914469641","","18.2094081942337","","","","","","","57.5702559090431","","",""
"Ghana","GHA","2003","0.0790493658772797","7000","","6000000","","","","","","","","","","","","","","","","","","","","","","22.0203756781146","","2.1011736308","","","","","","","0.428512777021419","2.33670886075949","53244020.2869524","0","","9","","","","","","","19.2251228919966","","",""
"Gambia, The","GMB","2003","0.177824802558899","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.227388636213975","2.54805543138131","1997861.93722507","","","13.2075471698113","","","","","","","","","",""
"Gambia, The","GMB","1995","0.224103446150743","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.304615670171595","","2886551.70751845","","","","","","","","","","","","",""
"Haiti","HTI","2010","0","0","","","","2.5","2.5","2.5","3.33333333333333","2.5","3","3","3.5","3","4","2.7","2.5","2","2.5","3","2.5","2.5","3.16666666666667","4","2.5","","2.925","6.8044864985","","","","1573000","","30","","0","","","66.66667","11.1111111111111","0.7","30","42.2222222222222","30","40.325","","","47","184","40.4"
"Haiti","HTI","2001","0.2525922661726","8300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","3.6144578313253","","","","","","","","","",""
"IBRD only","IBD","1977","","","","20445000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86520618215931","","","","","","","","","","","","","","",""
"IDA only","IDX","2012","0.909241476839832","3315550","","2558000000","","3.50892857142857","3.09821428571429","3.23214285714286","3.33333333333333","3.40178571428571","3.375","2.88392857142857","3.22321428571429","3.25892857142857","3.54464285714286","3.23571428571429","3.11607142857143","2.84821428571429","3.00714285714286","3.13392857142857","2.84821428571429","2.91964285714286","3.23214285714286","3.71428571428571","2.80357142857143","14.2772503414905","3.20208333333333","10.4","","","","2766120","13452000","42.5581395348837","1.66954155093264","8.03692073194107","12841329731.5286","","81.6279069767442","20.3191489361702","2.27857142857143","56.9767441860465","60.3875968992248","","","","","37.4821428571429","259.419642857143","53.2107142857143"
"IDA only","IDX","2013","0.878512620090507","3278170","","2391000000","","3.52631578947368","3.09649122807018","3.24561403508772","3.30116959064327","3.37719298245614","3.35087719298246","2.85087719298246","3.16666666666667","3.25438596491228","3.49122807017544","3.21754385964912","3.07894736842105","2.84210526315789","2.99649122807017","3.1140350877193","2.83333333333333","2.87719298245614","3.23391812865497","3.75438596491228","2.81578947368421","","3.18728070175439","","","","","2782504","17272000","43.7777777777778","1.64159723520401","8.38104940640999","13437221558.6459","","79.2222222222222","19.4841408156152","2.5280701754386","55.7777777777778","59.5925925925926","","","4.94736842105263","","37.7543859649123","265.078947368421","47.2561403508772"
"IDA only","IDX","1998","1.24401086556983","3267200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.45611087450004","13.0093085037484","10229596062.7474","","","8.08411214953271","","","","","","","","","",""
"Isle of Man","IMN","2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","9.9","","","","",""
"India","IND","2005","0.678489507778798","3047000","19000000","1198000000","1382","4","3.5","4.5","4","4","4","4","3","3.5","4.5","3.7","3.5","3.5","3.7","4","3.5","3.5","3.66666666666667","3.5","3.5","15.1739835904273","3.76666666666667","3.9294710735","2.773187932","4.995710484","","","","70","2.75490766621496","10.4231282650738","23072312925.1701","6.3044101477307","83.33333","8.28729281767956","","80","77.7777777777778","30","56.03125","","28.0305477031161","","",""
"Iran, Islamic Rep.","IRN","1968","","","","763000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.17636359090398","","437293729.372937","","","","","","","","","","","","",""
"Iraq","IRQ","1992","9.61416944324038","407000","","","327","","","","","","","","","","","","","","","","","","","","","","","7.5912608666","","","","","","","","","","","","","","","","","","","","","",""
"Israel","ISR","2013","4.966210923726","184500","419000000","209000000","","","","","","","","","","","","","","","","","","","","","","37.7191960063202","","1.6419227614","0.89605413601","2.4028290701","","200","","","5.57854001055897","13.8055165855909","16324818043.8467","11.0008351907947","","22.5","0","","","60","40.9375","6","37.7454308155788","28","239","26.4"
"Jamaica","JAM","2003","0.245937925267662","3000","","","","","","","","","","","","","","","","","","","","","","","","31.8172136416227","","35.985322417","","","","","","","0.581596297588658","1.74410023406306","54845871.8170309","","","11.6666666666667","","","","","","","","","",""
"Cambodia","KHM","1997","7.29268150584062","360500","","21000000","415","","","","","","","","","","","","","","","","","","","","","","","2.805658828","","","","","","","3.00336116231161","24.1872619574933","103419601.187951","","","5.83333333333333","","","","","","","","","",""
"Kiribati","KIR","2013","","","","","","3","2.5","2.5","2.66666666666667","3","3.5","2.5","2.5","2.5","3","3.1","3","3.5","3.2","3","3","3.5","2.66666666666667","3","3.5","65.6091684981303","2.90833333333333","","","","","","","30","","","","4.46031552597856","56.6666666666667","8.69565217391304","0","20","35.5555555555556","20","36.0375","4","15.8331641859048","7","120","32.7"
"Kuwait","KWT","1987","","","","50000000","","","","","","","","","","","","","","","","","","","","","","30.5775554774878","","","","","","","","","5.97625541472806","","1336740076.7235","","","","","","","","","","24.5540398740818","","",""
"Liberia","LBR","1967","","","","18000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16858237547893","","3050000","","","","","","","","","","","","",""
"Libya","LBY","1979","","","395000000","3166000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.22074942645934","","853569148.558863","","","","","","","","","","","","",""
"Lower middle income","LMC","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.34480108789703","","13164659855.8508","","","","","","","","","","","","",""
"Lower middle income","LMC","1980","","","","9172000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50291321552369","","24083766632.5109","","","","","","","","","","","","",""
"Morocco","MAR","2004","2.38097709776225","250000","","14000000","","","","","","","","","","","","","","","","","","","","","","23.6936386326547","","1.560673887","","","","","","70","3.24946757487646","12.266548632132","1937523821.55205","0","90","10.7692307692308","0.6","80","80","20","","","25.8072534857073","","",""
"Maldives","MDV","2005","","","","","","4","4","4.5","3.83333333333333","4","4","4","3.5","4","3.5","3.9","4","4","3.6","3","4","3.5","4","4","3","31.1818398812623","3.83333333333333","","","","","","","70","","","","0","73.33333","12","17.7","70","71.1111111111111","20","54.99375","","4.89953265996167","3","0","9.3"
"Mexico","MEX","1967","","","","14000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.545217107411035","","133600000","","","","","","","","","","","","",""
"Mexico","MEX","1985","","129100","","8000000","","","","","","","","","","","","","","","","","","","","","","20.5296047827758","","","","","","","","","0.676313139343828","","1241863651.93559","","","","","","","","","","","","",""
"Mali","MLI","2005","0.251479696053257","12000","","13000000","12","3.5","3.5","4.5","4.33333333333333","4","3.5","3","4","3.5","4.5","3.4","3","3.5","3.6","4","3","3.5","3.5","4","3.5","12.8334575182948","3.70833333333333","","","","","","","30","1.38431204093435","6.39859904357783","86450742.0355358","","83.33333","10.2040816326531","2.3","60","57.7777777777778","20","53.73125","","","59","270","51.4"
"Malta","MLT","2007","1.19488588839766","2000","","","","","","","","","","","","","","","","","","","","","","","","92.3848952586824","","0.98074310905","0.48625597487","1.4836721876","","","","","0.61769072153659","1.50975094976783","49263377.1156559","5.83008328515035","","9.23076923076923","","","","40","37.4125","","35.5039817598473","","",""
"Myanmar","MMR","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.02108745089932","","159999341.90502","","","","","","","","","","","","",""
"Middle East & North Africa (excluding high income)","MNA","1978","","","","13043000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.78385831088511","","16635149106.3289","","","","","","","","","","","","",""
"Mozambique","MOZ","2003","0.0900513270600504","8200","","1000000","","","","","","","","","","","","","","","","","","","","","","","","5.4006247033","","","","","","","1.28094221116848","4.87917896615638","59771342.5530752","","","30","","","","","","","","","",""
"Mauritania","MRT","2000","2.76251573099236","20700","","31000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92800544546355","","37878312.2595983","","","3.79746835443038","","","","","","","","","",""
"Malawi","MWI","1971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.581516870707674","","2343860.94977217","","","","","","","","","","","","",""
"New Caledonia","NCL","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1989507442","","","","","","","","","","","","","","","","20","25.70625","","","","",""
"Nicaragua","NIC","2019","","","","13000000","","3.5","2.5","4","4","3.5","4","2.5","4","4","4","3.6","3","2.5","3","3.5","3","3.5","3.166667","4.5","2.5","16.566351017277","3.441667","","","","","580","","50","0.60687567885627","2.21067548417572","76931506.8493151","7.00350823305948","73.3334","44.5652173913043","12.9","30","51.1111333333333","90","45.38125","2","28.9339737055673","43","201","60.6"
"Netherlands","NLD","2003","0.706212441199561","59900","331000000","125000000","","","","","","","","","","","","","","","","","","","","","","38.204598194263","","1.246840617","0.8933403071","1.6066017633","","","","","1.44380959809676","3.30313047900745","8356338470.08128","4.99420571408126","","36.6666666666667","","","","","","","75.6080380977659","","",""
"Panama","PAN","1999","0.936863349746967","11800","","","","","","","","","","","","","","","","","","","","","","","","","","9.5920936915","1.2681905103","17.783025415","","","","","0.974136501313688","3.82191780821918","111600000","","","","","","","","","","","","",""
"Philippines","PHL","2002","0.477773757753989","150000","","5000000","662","","","","","","","","","","","","","","","","","","","","","16.2398182535247","","8.0538057643","","","","","","","1.47389018793368","6.91875585610365","1199121766.69845","1.17476713426173","","17.7570093457944","","","","","","","20.9618087450798","","",""
"Poland","POL","2008","0.814196721201335","143000","73000000","632000000","","","","","","","","","","","","","","","","","","","","","","35.9419277503926","","0.84991479735","0.44697538961","1.2802719594","","","","100","1.75213971068109","3.97911955907292","9349421394.29862","3.85556822829985","80","20.2173913043478","0","80","86.6666666666667","40","43.7125","","43.6561131803514","41","420","45.1"
