"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",
"SP.ADO.TFRT","Adolescent fertility rate (births per 1,000 women ages 15-19)","Adolescent fertility rate is the number of births per 1,000 women ages 15-19.","United Nations Population Division, World Population Prospects.",
"SM.POP.REFG.OR","Refugee population by country or territory of origin","Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol, the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa, people recognized as refugees in accordance with the UNHCR statute, people granted refugee-like humanitarian status, and people provided temporary protection. Asylum seekers--people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers--are excluded. Palestinian refugees are people (and their descendants) whose residence was Palestine between June 1946 and May 1948 and who lost their homes and means of livelihood as a result of the 1948 Arab-Israeli conflict. Country of origin generally refers to the nationality or country of citizenship of a claimant.","United Nations High Commissioner for Refugees (UNHCR), Statistics Database, Statistical Yearbook and data files, complemented by statistics on Palestinian refugees under the mandate of the UNRWA as published on its website. Data from UNHCR are available online at: www.unhcr.org/en-us/figures-at-a-glance.html.",
"SM.POP.REFG","Refugee population by country or territory of asylum","Refugees are people who are recognized as refugees under the 1951 Convention Relating to the Status of Refugees or its 1967 Protocol, the 1969 Organization of African Unity Convention Governing the Specific Aspects of Refugee Problems in Africa, people recognized as refugees in accordance with the UNHCR statute, people granted refugee-like humanitarian status, and people provided temporary protection. Asylum seekers--people who have applied for asylum or refugee status and who have not yet received a decision or who are registered as asylum seekers--are excluded. Palestinian refugees are people (and their descendants) whose residence was Palestine between June 1946 and May 1948 and who lost their homes and means of livelihood as a result of the 1948 Arab-Israeli conflict. Country of asylum is the country where an asylum claim was filed and granted.","United Nations High Commissioner for Refugees (UNHCR), Statistics Database, Statistical Yearbook and data files, complemented by statistics on Palestinian refugees under the mandate of the UNRWA as published on its website. Data from UNHCR are available online at: www.unhcr.org/en-us/figures-at-a-glance.html.",
"SL.UEM.TOTL.MA.ZS","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.UEM.TOTL.FE.ZS","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.CACT.MA.ZS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.CACT.FE.ZS","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.ACTI.ZS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Labor force participation rate is the proportion of the population ages 15-64 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.ACTI.MA.ZS","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate is the proportion of the population ages 15-64 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.ACTI.FE.ZS","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate is the proportion of the population ages 15-64 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.ACTI.1524.ZS","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.ACTI.1524.MA.ZS","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.ACTI.1524.FE.ZS","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.TLF.0714.ZS","Children in employment, total (% of children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.ZS","Children in employment, work only (% of children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.MA.ZS","Children in employment, work only, male (% of male children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.WK.FE.ZS","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.ZS","Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.MA.ZS","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.SW.FE.ZS","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.MA.ZS","Children in employment, male (% of male children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.TLF.0714.FE.ZS","Children in employment, female (% of female children ages 7-14)","Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.EMP.VULN.MA.ZS","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment.","Derived using data from International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SL.EMP.VULN.FE.ZS","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment.","Derived using data from International Labour Organization, ILOSTAT database. Data retrieved in September 2018.",
"SH.HIV.1524.MA.ZS","Prevalence of HIV, male (% ages 15-24)","Prevalence of HIV, male is the percentage of males who are infected with HIV. Youth rates are as a percentage of the relevant age group.","UNAIDS estimates.",
"SH.HIV.1524.FE.ZS","Prevalence of HIV, female (% ages 15-24)","Prevalence of HIV, female is the percentage of females who are infected with HIV. Youth rates are as a percentage of the relevant age group.","UNAIDS estimates.",
"SG.GEN.PARL.ZS","Proportion of seats held by women in national parliaments (%)","Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.","Inter-Parliamentary Union (IPU) (www.ipu.org).",
"SE.ENR.TERT.FM.ZS","School enrollment, tertiary (gross), gender parity index (GPI)","Gender parity index for gross enrollment ratio in tertiary education is the ratio of women to men enrolled at tertiary level in public and private schools.","UNESCO Institute for Statistics",
