"Country Name","Country Code","Year","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Adequacy of social safety net programs (% of total welfare of beneficiary households)","Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)","Children in employment, wage workers (% of children in employment, ages 7-14)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Coverage of social insurance programs (% of population)","Coverage of social insurance programs in 2nd quintile (% of population)","Coverage of social insurance programs in 3rd quintile (% of population)","Coverage of social insurance programs in 4th quintile (% of population)","Coverage of social insurance programs in poorest quintile (% of population)","Coverage of social insurance programs in richest quintile (% of population)","Coverage of social protection and labor programs (% of population)","Coverage of social safety net programs (% of population)","Coverage of social safety net programs in 2nd quintile (% of population)","Coverage of social safety net programs in 3rd quintile (% of population)","Coverage of social safety net programs in 4th quintile (% of population)","Coverage of social safety net programs in poorest quintile (% of population)","Coverage of social safety net programs in richest quintile (% of population)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)","Labor force participation rate, male (% of male population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Ratio of female to male labor force participation rate (%) (national estimate)","Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, male (% of male youth population)","Share of youth not in education, employment or training, total (% of youth population)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
"Azerbaijan","AZE","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.5379981994629","57.7999992370605","65.3000030517578","61.4000015258789","0","0","0","61.4000015258789","68","64.6999969482422","48.8848377289175","4700437","3.08999991416931","4.73999977111816","90.2941198909984","0","0","0","0","4.03700017929077","0","4.96999979019165","5.05959987640381","0","11.4289999008179","0","13.5480003356934","0"
"Azerbaijan","AZE","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.0610008239746","0","0","0","0","0","0","62.4000015258789","68.5","65.4000015258789","49.0220005753662","4873418","14.210000038147","18.6299991607666","91.0948927385093","0","0","0","5.86999988555908","4.08799982070923","4.09000015258789","4.96000003814697","4.96000003814697","15.7799997329712","11.2930002212524","11.3900003433228","13.3120002746582","13.4200000762939"
"Burkina Faso","BFA","1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.5319976806641","0","0","0","0","0","0","0","0","0","47.9648189120386","4129264","0","0","0","0","0","0","0","2.43199992179871","0","2.6010000705719","0","0","3.49900007247925","0","3.78399991989136","0"
"Central African Republic","CAF","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.1740036010742","0","0","0","0","0","0","0","0","0","45.843027007968","1270588","0","0","0","0","0","0","0","5.71000003814697","0","6.17600011825562","0","0","10.8730001449585","0","11.3819999694824","0"
"Chile","CHL","1960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.2000007629394","150.1199951171876","101.2600021362304","45.4799995422364","170.1799926757812","105.5599975585938","0","0","0","0","53.4492907505088","0","0","0","0","0","0","0","0","0","0","0","0","0"
"China","CHN","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.1049995422363","0","0","68.4700012207031","0","0","0","0","0","70.629997253418","43.8779014178293","786573327","0","0","0","0","0","0","0","5.05800008773804","0","4.59299993515015","4.09999990463257","0","11.6940002441406","0","10.6700000762939","0"
"Cyprus","CYP","1974","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.40000009536743","0","0","0","0","0","0","0","0","0"
"Dominican Republic","DOM","1970","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.3600006103516","134.020004272461","90.120002746582","53.5200004577636","163.6000061035156","108.0599975585938","0","0","0","0","65.4278709792952","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","DZA","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.75899982452393","0","0","0","0","0","0","15.8000001907349","67.8000030517578","42","18.8269728776796","11597754","0","0","23.3038340406465","34.7999992370605","10.8000001907349","22.7000007629395","16.9899997711182","9.56999969482422","9.5600004196167","10.9700002670288","10.9700002670288","39.2200012207031","24.9540004730225","24.9200000762939","27.5769996643066","27.5400009155273"
"Fiji","FJI","2008","42.8013567559738","24.1974194743883","14.0224188115741","6.72540738534532","9.48830416079071","13.6855990130216","0","0","0","5.32568979469768","5.4440808807287","5.47146308041351","5.46721011366017","5.4518827319378","4.7939772561884","14.3335223248845","9.55238927064364","9.02321441547531","9.42962727895953","8.10918889265322","11.1993770836075","10.001673162615","43.1559982299805","0","0","35.7999992370605","0","0","0","0","0","39.2999992370605","33.6497835904871","329699","0","0","0","0","0","0","0","7.15500020980835","0","8.9399995803833","0","0","18.5830001831055","0","23.1720008850098","0"
"United Kingdom","GBR","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.921999990940094","50.4743995666504","65.7676010131836","57.9294013977051","59.7387008666992","67.7945022583008","63.847900390625","53.3286018371582","70.6259002685547","61.7606010437012","44.9164570095031","28761240","18.9200000762939","33.310001373291","75.50856220505","0","0","0","0","6.88800001144409","0","6.19999980926514","0","10.6399002075195","14.0349998474121","14.0015001296997","12.460000038147","12.460599899292"
"Ghana","GHA","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.3839988708496","0","0","0","0","0","0","0","0","0","48.9527842015717","9038013","0","0","0","0","0","0","0","6.67700004577637","0","6.97399997711182","0","0","11.3660001754761","0","11.746000289917","0"
"Gambia, The","GMB","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.3419990539551","0","0","0","0","0","0","0","0","0","39.6094856603256","328285","0","0","0","0","0","0","0","6.77799987792969","0","9.19200038909912","0","0","9.19600009918213","0","12.9250001907349","0"
"Gambia, The","GMB","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.9269981384277","0","0","0","0","0","0","0","0","0","41.9904009234794","422749","0","0","0","0","0","0","0","6.83599996566772","0","9.40100002288818","0","0","9.19299983978271","0","12.9770002365112","0"
"Haiti","HTI","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.0909996032715","0","0","0","0","0","0","60.6399993896484","70.8300018310547","65.620002746582","47.2916728813583","4223862","0","0","85.6134375575597","0","0","0","0","13.9709997177124","0","15.9460000991821","0","0","32.9269981384277","0","38.6940002441406","0"
"Haiti","HTI","2001","0","0.567829723100429","0.567829723100429","0","5.76370979144183","5.76370979144183","0","0","0","0","0","0","0","0","0","0.753385402782961","0.753385402782961","0.556540601367383","0.485938741370547","0.626137281092679","1.0236368743884","1.07481313833223","36.3209991455078","0","0","0","0","0","0","0","0","0","46.9680387464621","3320458","0","0","0","0","0","0","0","8.77299976348877","0","10.1120004653931","0","0","20.5520000457764","0","24.2479991912842","0"
"IDA only","IDX","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.4123972418879","0","0","0","0","0","0","0","0","0","41.4920775276238","386379128","0","0","0","0","0","0","0","4.44944864050121","0","5.23994909740411","0","0","9.45610206442737","0","10.5343337177559","0"
"IDA only","IDX","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64.2996904921778","0","0","0","0","0","0","0","0","0","41.6040530134386","396755853","0","0","0","0","0","0","0","4.41900689432266","0","5.21214182844259","0","0","9.61740059681562","0","10.5694982181242","0"
"IDA only","IDX","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.9951338025939","0","0","0","0","0","0","0","0","0","40.0780134128025","266749766","0","0","0","0","0","0","0","4.82276619904342","0","5.67128763495602","0","0","9.82611188053538","0","10.7040267020436","0"
"Isle of Man","IMN","1975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.09999990463257","0","0","0","0","0"
"India","IND","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.6969985961914","35.5","79.4000015258789","57.7000007629395","28.1000003814697","63.9000015258789","46.7000007629395","37.2999992370605","82.9000015258789","60.4000015258789","29.4492542966186","466155121","0","0","44.9939668884283","54.0675010681152","8.62110042572021","30.42799949646","0","4.14200019836426","0","4.39599990844727","0","0","9.72500038146973","0","9.88599967956543","0"
